"","Country","Country_code","Region","Longitude","Latitude","Date","year","month","day","Iodine131","Caesium134","Caesium137"
"1","Austria","14","BREGENZ",9.78,47.51,1986-04-30,1986,4,30,0.00851,0.40293,0.001139
"2","Austria","14","BREGENZ",9.78,47.51,1986-05-01,1986,5,1,2.4013,0.40293,0.592
"3","Austria","14","BREGENZ",9.78,47.51,1986-05-02,1986,5,2,4.884,1.8315,3.367
"4","Austria","14","BREGENZ",9.78,47.51,1986-05-03,1986,5,3,2.9785,1.16402,2.22
"5","Austria","14","BREGENZ",9.78,47.51,1986-05-04,1986,5,4,1.1803,0.32153,0.6216
"6","Austria","14","BREGENZ",9.78,47.51,1986-05-05,1986,5,5,0.1517,0.094424,0.17464
"7","Austria","14","BREGENZ",9.78,47.51,1986-05-06,1986,5,6,0.3256,0.11396,0.2109
"8","Austria","14","BREGENZ",9.78,47.51,1986-05-07,1986,5,7,0.666,0.23199,0.4181
"9","Austria","14","BREGENZ",9.78,47.51,1986-05-08,1986,5,8,0.10286,0.027269,0.04995
"10","Austria","14","BREGENZ",9.78,47.51,1986-05-09,1986,5,9,0.02553,0.002035,0.003108
"11","Austria","14","BREGENZ",9.78,47.51,1986-05-10,1986,5,10,0.02183,0.002035,0.00333
"12","Austria","14","BREGENZ",9.78,47.51,1986-05-11,1986,5,11,0.0148,0.001261,0.002109
"13","Austria","14","BREGENZ",9.78,47.51,1986-05-12,1986,5,12,0.00925,0.000773,0.00148
"14","Austria","14","BREGENZ",9.78,47.51,1986-05-13,1986,5,13,0.00666,0.000651,0.001147
"15","Austria","14","BREGENZ",9.78,47.51,1986-05-14,1986,5,14,0.00666,0.001465,0.002405
"16","Austria","14","BREGENZ",9.78,47.51,1986-05-15,1986,5,15,0.00629,0.001058,0.001369
"17","Austria","14","GRAZ",15.36,47.08,1986-04-30,1986,4,30,25.382,2.863245,5.291
"18","Austria","14","GRAZ",15.36,47.08,1986-05-01,1986,5,1,16.058,1.914935,3.6482
"19","Austria","14","GRAZ",15.36,47.08,1986-05-02,1986,5,2,2.7343,0.50875,0.8584
"20","Austria","14","GRAZ",15.36,47.08,1986-05-03,1986,5,3,9.731,1.9129,3.5002
"21","Austria","14","INNSBRUCK",11.41,47.28,1986-05-02,1986,5,2,4.79766666666667,1.0582,1.93633333333333
"22","Austria","14","INNSBRUCK",11.41,47.28,1986-05-03,1986,5,3,4.19333333333333,0.812643333333333,1.54166666666667
"23","Austria","14","INNSBRUCK",11.41,47.28,1986-05-04,1986,5,4,1.54783333333333,0.348663333333333,0.6253
"24","Austria","14","INNSBRUCK",11.41,47.28,1986-05-05,1986,5,5,1.83766666666667,0.432776666666667,0.826333333333333
"25","Austria","14","INNSBRUCK",11.41,47.28,1986-05-06,1986,5,6,2.71086666666667,0.46805,0.848533333333333
"26","Austria","14","INNSBRUCK",11.41,47.28,1986-05-07,1986,5,7,4.2735,1.29833,2.31435
"27","Austria","14","INNSBRUCK",11.41,47.28,1986-05-08,1986,5,8,0.210036666666667,0.0560303333333333,0.1036
"28","Austria","14","INNSBRUCK",11.41,47.28,1986-05-09,1986,5,9,0.0789333333333333,0.0022385,0.003959
"29","Austria","14","INNSBRUCK",11.41,47.28,1986-05-10,1986,5,10,0.0686966666666667,0.002413,0.003626
"30","Austria","14","INNSBRUCK",11.41,47.28,1986-05-11,1986,5,11,0.0648733333333333,0.0031395,0.00446466666666667
"31","Austria","14","INNSBRUCK",11.41,47.28,1986-05-12,1986,5,12,0.0381655,0.002706,0.0034965
"32","Austria","14","INNSBRUCK",11.41,47.28,1986-05-13,1986,5,13,0.0302783333333333,0.001573,0.00315733333333333
"33","Austria","14","INNSBRUCK",11.41,47.28,1986-05-14,1986,5,14,0.0287613333333333,0.00244133333333333,0.00394666666666667
"34","Austria","14","INNSBRUCK",11.41,47.28,1986-05-15,1986,5,15,0.011285,0.001628,0.002183
"35","Austria","14","KLAGENFURT",14.33,46.63,1986-04-30,1986,4,30,5.35501,0.729344,1.36271
"36","Austria","14","KLAGENFURT",14.33,46.63,1986-05-01,1986,5,1,5.1615,1.15995,2.368
"37","Austria","14","KLAGENFURT",14.33,46.63,1986-05-02,1986,5,2,4.255,1.221,2.257
"38","Austria","14","KLAGENFURT",14.33,46.63,1986-05-03,1986,5,3,2.109,0.7733,1.48
"39","Austria","14","KLAGENFURT",14.33,46.63,1986-05-04,1986,5,4,1.1618,0.5291,0.925
"40","Austria","14","KLAGENFURT",14.33,46.63,1986-05-05,1986,5,5,1.08163333333333,0.32153,0.5661
"41","Austria","14","KLAGENFURT",14.33,46.63,1986-05-06,1986,5,6,0.709166666666667,0.21571,0.386033333333333
"42","Austria","14","KLAGENFURT",14.33,46.63,1986-05-07,1986,5,7,0.73667,0.1628,0.3182
"43","Austria","14","KLAGENFURT",14.33,46.63,1986-05-08,1986,5,8,0.3256,0.145977333333333,0.259863333333333
"44","Austria","14","KLAGENFURT",14.33,46.63,1986-05-09,1986,5,9,0.0538966666666667,0.00303866666666667,0.00493333333333333
"45","Austria","14","KLAGENFURT",14.33,46.63,1986-05-10,1986,5,10,0.0404903333333333,0.00256366666666667,0.004403
"46","Austria","14","KLAGENFURT",14.33,46.63,1986-05-11,1986,5,11,0.049469,0.002265,0.003293
"47","Austria","14","KLAGENFURT",14.33,46.63,1986-05-12,1986,5,12,0.040811,0.00294366666666667,0.004847
"48","Austria","14","KLAGENFURT",14.33,46.63,1986-05-13,1986,5,13,0.0398736666666667,0.00301166666666667,0.00457566666666667
"49","Austria","14","KLAGENFURT",14.33,46.63,1986-05-14,1986,5,14,0.0317583333333333,0.00343166666666667,0.006919
"50","Austria","14","KLAGENFURT",14.33,46.63,1986-05-15,1986,5,15,0.017649,0.00259066666666667,0.00423033333333333
"51","Austria","14","KLAGENFURT",14.33,46.63,1986-05-16,1986,5,16,0.009139,0.001912,0.003182
"52","Austria","14","LINZ",14.3,48.31,1986-04-30,1986,4,30,10.2009719166667,1.77369225,2.28672133333333
"53","Austria","14","LINZ",14.3,48.31,1986-05-01,1986,5,1,15.7746346666667,3.59461916666667,5.58118766666667
"54","Austria","14","LINZ",14.3,48.31,1986-05-02,1986,5,2,2.6243288,0.682716,1.104981
"55","Austria","14","LINZ",14.3,48.31,1986-05-03,1986,5,3,5.5272262,1.3763494,2.413327
"56","Austria","14","LINZ",14.3,48.31,1986-05-04,1986,5,4,2.0609145,0.79610275,1.3214235
"57","Austria","14","LINZ",14.3,48.31,1986-05-05,1986,5,5,1.06097125,0.3750135,0.596678
"58","Austria","14","LINZ",14.3,48.31,1986-05-06,1986,5,6,0.91921475,0.316217,0.363737
"59","Austria","14","LINZ",14.3,48.31,1986-05-07,1986,5,7,1.0236275,0.321077,0.485997
"60","Austria","14","LINZ",14.3,48.31,1986-05-08,1986,5,8,0.217417,0.168673,0.146263
"61","Austria","14","LINZ",14.3,48.31,1986-05-09,1986,5,9,0.045209,0.004406,0
"62","Austria","14","LINZ",14.3,48.31,1986-05-10,1986,5,10,0.038884,0.004406,0
"63","Austria","14","LINZ",14.3,48.31,1986-05-11,1986,5,11,0.03247,0.004406,0.008912
"64","Austria","14","LINZ",14.3,48.31,1986-05-12,1986,5,12,0.016764,0.004452,0.006338
"65","Austria","14","LINZ",14.3,48.31,1986-05-13,1986,5,13,0.015121,0.004452,0
"66","Austria","14","LINZ",14.3,48.31,1986-05-14,1986,5,14,0.014517,0.004452,0
"67","Austria","14","LINZ",14.3,48.31,1986-05-15,1986,5,15,0.016948,0.004452,0
"68","Austria","14","SALZBURG",13.05,47.9,1986-04-30,1986,4,30,0.093023,0.026458,0.046284
"69","Austria","14","SALZBURG",13.05,47.9,1986-05-01,1986,5,1,5.008485,1.378296,2.000005
"70","Austria","14","SALZBURG",13.05,47.9,1986-05-02,1986,5,2,0.853809,0.216814,0.33532
"71","Austria","14","SALZBURG",13.05,47.9,1986-05-03,1986,5,3,3.311836,1.1069,1.35505
